여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,,,,,,
구분,고유번호,성별,나이,지역,설문일시,문항1
LG,w335826611794662,여,2002년 03월 15일 (만 23 세),인천,2025-01-06 23:21,4
LG,w376313529907746,여,2005년 07월 05일 (만 20 세),서울,2025-01-09 3:41,"4, 5"
LG,w50277025903306,남,1975년 01월 10일 (만 50 세),충남,2025-01-07 5:43,4
LG,w209547565354567,남,1993년 07월 27일 (만 32 세),서울,2025-01-06 10:29,"8, 5, 2, 1"
LG,w305980378455608,남,1970년 05월 05일 (만 55 세),서울,2025-01-06 10:31,9
LG,w325984939746987,남,1981년 10월 01일 (만 44 세),서울,2025-01-06 19:50,2
LG,w8189757002071,여,1944년 02월 08일 (만 81 세),강원,2025-01-12 8:43,4
LG,w34497019738295,남,1963년 08월 10일 (만 62 세),인천,2025-01-07 8:06,"4, 9"
LG,w8491271378790,남,1992년 월 일 (만 33 세),서울,2025-01-07 7:38,"1, 6"
LG,w40033266750078,여,1977년 07월 07일 (만 48 세),서울,2025-01-06 12:18,4
LG,w149970975917419,남,1949년 07월 08일 (만 76 세),경남,2025-01-07 8:16,4
LG,w11274271947453,남,1979년 월 일 (만 46 세),서울,2025-01-06 19:31,3
LG,w11964540488635,남,1981년 05월 01일 (만 44 세),서울,2025-01-06 20:18,4
LG,w105519727379516,남,2002년 10월 20일 (만 23 세),경기,2025-01-06 14:43,"3, 2, 1, 7, 8, 4, 6, 5"
LG,w394354419220139,여,1993년 02월 10일 (만 32 세),광주,2025-01-07 8:43,3
LG,w9992567554257,여,1985년 월 일 (만 40 세),충남,2025-01-06 22:15,4
LG,w8181268492169,남,2000년 05월 27일 (만 25 세),경기,2025-01-07 1:52,3
LG,w396234290611426,남,1973년 11월 25일 (만 52 세),울산,2025-01-12 9:38,9
LG,w101423688129489,남,1970년 03월 20일 (만 55 세),전북,2025-01-07 8:14,9
LG,w186858954434257,여,1980년 08월 13일 (만 45 세),강원,2025-01-06 23:40,4
KT,w26678896068136,여,1969년 02월 07일 (만 56 세),서울,2025-01-06 16:05,3
LG,w113043964731681,여,1972년 02월 06일 (만 53 세),강원,2025-01-07 23:04,4
LG,w10846615726823,남,1971년 10월 28일 (만 54 세),경기,2025-01-06 14:19,4
KT,w26916759727608,남,1964년 03월 01일 (만 61 세),경기,2025-01-06 14:09,8
LG,w9883698411515,남,1965년 09월 07일 (만 60 세),제주,2025-01-07 6:59,"5, 4"
LG,w10456330729288,남,1973년 11월 07일 (만 52 세),충북,2025-01-07 1:24,"2, 8, 5, 9"
LG,w210628035964174,남,1975년 07월 14일 (만 50 세),경기,2025-01-06 21:26,4
LG,w74253233975132,여,1969년 09월 01일 (만 56 세),경기,2025-01-11 3:48,10
LG,w66744428167469,여,1997년 04월 13일 (만 28 세),서울,2025-01-07 0:15,1
LG,w230594810343484,남,1976년 04월 05일 (만 49 세),세종,2025-01-08 8:14,7
LG,w10350230571970,남,1974년 월 일 (만 51 세),경기,2025-01-06 13:49,4
LG,w10019419260541,여,1990년 월 일 (만 35 세),전북,2025-01-07 6:44,10
LG,w118166519850094,남,1969년 12월 25일 (만 56 세),서울,2025-01-07 4:31,"4, 2"
LG,w12124452651016,여,1991년 월 일 (만 34 세),서울,2025-01-07 8:31,10
LG,w22591354585381,여,1980년 04월 09일 (만 45 세),서울,2025-01-06 23:13,7
LG,w163105141348723,남,1962년 10월 08일 (만 63 세),서울,2025-01-06 18:43,2
